,processed_sentence,vader_scores,polarity_value
3074,"could not really understand the purpose of use the app . it be either play game or keep track of habit , a bit confusing .","{'neg': 0.084, 'neu': 0.837, 'pos': 0.079, 'compound': -0.0258}",neutral
3075,"it take too long to be fun , and set you up for failure . at the start you be ask to create a small # of task . however , the number of task you do be directly relate to how fast you level . and a few task mean it take a long time to get to level 10 which be when you finally get to pick a class . however , you could level fast if you add more task , but do that before you be ready will set you up to fail . this be not discourage as it should be , and there few goal at low level .","{'neg': 0.083, 'neu': 0.823, 'pos': 0.094, 'compound': -0.1811}",negative
3076,i keep run into problematic bug right away,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",negative
3077,"be really really excited for this , but then it be glitchy ( i end up with ton of duplicate of the habit which take forever to delete cause you can only delete individually ) and it rely on internet , so i can not use it for when i be out . oh well :((","{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.5626}",positive
3078,no good as other application but good for game and one task or goal like da daily routine work,"{'neg': 0.069, 'neu': 0.645, 'pos': 0.286, 'compound': 0.7504}",positive
3079,"seem like it could be fun , i just have a hard time get into it .","{'neg': 0.073, 'neu': 0.625, 'pos': 0.302, 'compound': 0.6597}",positive
3080,fun and helpful . graphic be awesome . just need a few tweak . too easy to cheat . i do not like the tavern because i be in recovery from drug and alcohol so it be kinda anthemic . maybe a temple option would be a well social forum for inclusion for those of we who do not drink and/or use drug . it would also be nice if you could continue to see complete to - do item after you have check they so you can continue to visualize your progress .,"{'neg': 0.051, 'neu': 0.732, 'pos': 0.217, 'compound': 0.9476}",positive
3081,make a go back button,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3082,"excited to try it out , but the app crash whenever i try to create or edit task !","{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.5635}",positive
3083,"be ok until i see the mtx . i guess it truely do "" gamify "" thing now .","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",positive
3084,"despite various update to "" fix bug "" the first few screen of this app be still completely break on android . the app beyond sign - in still function ... but that be it . the game aspect be weak , the app be not very well design , and the tutorial tend to be break on android as well . i prefer app like fabulous , which i think approach the subject of mental health and habit form in a much well way .","{'neg': 0.134, 'neu': 0.738, 'pos': 0.128, 'compound': -0.134}",negative
3085,set up be glitchy . i do not get furth than that . it be a great concept though and the art be cute .,"{'neg': 0.0, 'neu': 0.717, 'pos': 0.283, 'compound': 0.7964}",positive
3086,"good app , but very buggy and support be completely unhelpful . there be no way to change your subscription level in the app or play store . even if you cancel the app will think you be still subscribe . so basically when you pick a subscription level you be fully committed to it because the devs be too incompetent and uncare to help . when use a choose skill the habit n daily show up like 10 % of the time and the devs basically say "" oh well , we can not fix that "" when i mention it .","{'neg': 0.088, 'neu': 0.718, 'pos': 0.193, 'compound': 0.8931}",positive
3087,"i like the concept because i 've be try to gamify my free time for a while , assign a predifined score to each habit practice the most during every hour , and all i want be the positive and the negative habit to affect the same progress bar , with the possibility to keep track of a daily score , with a possibly negative value . it be a damn shame but this be nt for i . i wish it be more customisable","{'neg': 0.098, 'neu': 0.75, 'pos': 0.152, 'compound': 0.5789}",positive
3088,i love the idea but it be not work on my samsung s10e . like the main screen be just purple when i first open and then the feature for design my character do not show any option . i 'll happily try again once bug be work out . keep we post !,"{'neg': 0.0, 'neu': 0.799, 'pos': 0.201, 'compound': 0.901}",positive
3089,"1/5/20 ) i have try the update since my original post , and launch speed have slightly improve . main landing page load very slowly , but at least do not crash right away again . almost froze when scroll through habit . i give it more time to load , then try go to a different section of the app & it crash .. 11/9/19 ) would be an awesome app , if it would load . painfully slow startup and very laggy in app as a well . ( android 9 ; moto g6 play ) please fix ! & i will actually update my review .","{'neg': 0.042, 'neu': 0.766, 'pos': 0.192, 'compound': 0.938}",positive
3090,galaxy s10 on android 10 . ftue be bust . first two slide do not load . you get to the character creation and the avatar and all of the customize option be invisible / don't display . please fix or mark the app as incompatible with android 10 .,"{'neg': 0.045, 'neu': 0.908, 'pos': 0.048, 'compound': 0.0356}",neutral
3091,not very user friendly and very less interactive,"{'neg': 0.288, 'neu': 0.712, 'pos': 0.0, 'compound': -0.428}",negative
3092,"boring and not very effective for i : the visual design be a bit of a yawn and it be too hard to earn reward without pay . if it work for you , great but it do not give i enough gratification .","{'neg': 0.106, 'neu': 0.715, 'pos': 0.179, 'compound': 0.6445}",positive
3093,"i be use this app just fine without problem for about 2 month but when my wife decide to get we both a subscription , my account stop work right . whenever i check off a task i just get an error message and nothing gets count . i do everything the helper tell i ( clear cache , reinstall the app , restart phone ) and nothing work . its be about a week and i have yet to hear again from technical support .","{'neg': 0.067, 'neu': 0.791, 'pos': 0.143, 'compound': 0.6936}",positive
3094,certain page do not fit on screen .,"{'neg': 0.257, 'neu': 0.487, 'pos': 0.256, 'compound': -0.0026}",neutral
3095,"do this work on android 10 ? i try instal it and try to make a character but it seem it be bugging . do not show my character ( from character - make phase ) . reinstall it , same thing occur . hopefully you guy can help i here . cheer !","{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.9108}",positive
3096,"would you quit direct i to the website ! ? if i want to join a party / guild it should be do on the app . it will not let i log in on the site at all .. why you people would choose to have it so if you use "" log in use google "" , it reset and begin a whole new account without ask , now i have two account on one email ? it will not even give i my password ! i try reset it several time . how annoying , bad design . after i spend so much time on the app too , all for it not to work","{'neg': 0.067, 'neu': 0.9, 'pos': 0.033, 'compound': -0.6852}",negative
3097,"need wifi / data for it . i get that you can play with your friend , but it would be nice if i could use it without wifi for datum anyway . i have a limited ammout of datum and brain memory . so by the time i get home after all day i 've forget my habit and the point become mute . only give this an extra star because i love the 8 bit art .","{'neg': 0.057, 'neu': 0.781, 'pos': 0.162, 'compound': 0.8608}",positive
3098,"the idea be wonderful . but a lot of tedious mistake spoil the whole impression . for example , information be slowly update even within the application , often click on a menu item be ignore . if you create a task without a title , but with a list , it will become closed for editing , just delete . not all thing be obvious . i have to read help to solve simple question . well , the old - school 8 - bit graphic - not everyone like it .","{'neg': 0.1, 'neu': 0.729, 'pos': 0.171, 'compound': 0.6759}",positive
3099,"seem to have glitche out on i . when i put in my username and display name , it give i an error say "" path profile . name required . "" then none of the avatar customization option appear . i be not even able to start the third page when the app crash . reopen the app take i to the dailies tutorial and now i be sure i be miss something . i have a samsung galaxy note 10 .","{'neg': 0.067, 'neu': 0.902, 'pos': 0.031, 'compound': -0.3818}",negative
3100,i really like this until i realize that unfinished daily / repeat task get mark as do whether you complete they or not the next day . that make it pretty useless for track task i need to do each week .,"{'neg': 0.064, 'neu': 0.794, 'pos': 0.143, 'compound': 0.5413}",positive
3101,why do the app keep show server connection lose even though there be no problem with my network or internet server ? i can not open the app and refresh it at all .,"{'neg': 0.069, 'neu': 0.864, 'pos': 0.067, 'compound': -0.0108}",neutral
3102,good idea but not well implement . it get tedious and boring after a while .,"{'neg': 0.285, 'neu': 0.607, 'pos': 0.108, 'compound': -0.4975}",negative
3103,"i download this app today but there be a problem that make i unable to see to - do list , habit etc . i really want to use this app but i can not do it when i can not see the option . it would be great if you fix it so i can use it !","{'neg': 0.061, 'neu': 0.805, 'pos': 0.134, 'compound': 0.6464}",positive
3104,"two bug right at the beginning of registration . first two image do not load on the three slide intro , then when register my info , it move to the next screen but give a name error and i could not make an avatar . not a good first impression . just delete my account thru the website .","{'neg': 0.115, 'neu': 0.845, 'pos': 0.041, 'compound': -0.6496}",negative
3105,"the app look interesting but it do not work in my device which be a samsung galaxy note9 , i could not see the introduction and i could not see my character in the character creation window it keep say path profile.file be need i do not know how to fix it","{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.5423}",positive
3106,good app but skill glitch out all the time ..... fix this for 5 star,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.2382}",positive
3107,super glitchy . too frustrating to bother try to use it .,"{'neg': 0.327, 'neu': 0.432, 'pos': 0.241, 'compound': -0.1027}",negative
3108,"i be probably too old for this . could not find the energy / patience to work out how it work ( and why be it preset with meditation ? ) , i guess it would seem obvious to someone who use technology more . buy a huge paper planner call trigg instead . less portable ! but it will not crash , malfunction or lose if i break my phone ...","{'neg': 0.048, 'neu': 0.872, 'pos': 0.08, 'compound': 0.2525}",positive
3109,"great concept , but really quite bad execution . with so many bug even in the new player introduction it feel like an early access , not v2.2 of anything . surprised to learn that it be be in public release for 4 year now . i would be ashamed to make or spend money from any transaction within this game . i be not usually this harsh , and i hope none of the devs take this review personally , but get it together . need a major qol & ux overhaul before i would consider the concept v1.0 complete .","{'neg': 0.131, 'neu': 0.759, 'pos': 0.11, 'compound': -0.6508}",negative
3110,"the whole app be pretty broke on the note 9 ( edit : i would love to report the big to help however , the setting menue do not work so i do not have the ability to send a report ) .","{'neg': 0.099, 'neu': 0.689, 'pos': 0.211, 'compound': 0.746}",positive
3111,"i immediately encounter a problem when i begin , by misclicke on one of my habits . there be no way to correct for that . manually change the value , yes , but the xp and hp do not change to reflect that automatically . secondly , the setting page be break on my s9 , and the issue be difficult to describe . the display freeze so if you scroll , an instance of the text move while the another be stuck below . honestly the tutorial really need work . i could go on but space constraint .","{'neg': 0.143, 'neu': 0.748, 'pos': 0.109, 'compound': -0.34}",negative
3112,"laggiest experience ever , icon be miss everywhere , it seem really cool but quite unplayable for i .","{'neg': 0.092, 'neu': 0.805, 'pos': 0.103, 'compound': 0.0507}",positive
3113,"to be honest , it be a really good app . it have everything ( simplicity , system , ui , etc . ) but seriously , if this be really a productivity app , it need to have an offline mode . do it really need to have an internet connection every time someone have to check their to do list ?","{'neg': 0.07, 'neu': 0.851, 'pos': 0.079, 'compound': 0.1145}",positive
3114,"it be fun but now i just level up and i do not get any notifs for "" unallocated stat point "" anymore","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.2846}",positive
3115,"do not enjoy the layout , workflow , reward , explanation . a+ for the effort .","{'neg': 0.167, 'neu': 0.636, 'pos': 0.197, 'compound': 0.121}",positive
3116,"this app be either really good or really bad / break --- there be no in between . i love the concept , and its super cute , but it bug out quite a bit and besides which , be super easy to misclick on . as a result , i 've lose or accidentally lose item , as well as accidentally spend you all of my coin completely on accident because there be no verification for buying and no refunding ? ? ? and that be besides the part where it constantly unequip all of my gear ... this game need help ...","{'neg': 0.199, 'neu': 0.592, 'pos': 0.209, 'compound': 0.3002}",positive
3117,please make it work offline ! !,"{'neg': 0.203, 'neu': 0.406, 'pos': 0.391, 'compound': 0.3365}",positive
3118,it would be well if there be more option for customise the avatar and theme which be in purple . you will need to spend money for a decent background . the avatar be pixelate and do not look good . get a bit bored of it now .,"{'neg': 0.093, 'neu': 0.847, 'pos': 0.06, 'compound': -0.1546}",negative
3119,"very nice and interesting concept but completely useless because you flip need wifi to update your checklist ? ! furthermore even if my parent do not control my wifi and i have full access , there should be a way to see all your task etc at a glance without have to scroll so much . also what be the point if you can just go in the setting and set the amount of money you want ? and a bunch of my friend join habitica only to leave because it take up too much time , and it be not fun enough .","{'neg': 0.085, 'neu': 0.819, 'pos': 0.097, 'compound': -0.2538}",negative
3120,download a bunch of these type of program to find the one that be good . this be one of the bad . play with it for about an hour and could not figure it out .,"{'neg': 0.101, 'neu': 0.737, 'pos': 0.162, 'compound': 0.3612}",positive
3121,"good idea , bad execution . the first screen , with the customkze character option , would not let i pick anything ; therefore , i could not move on .","{'neg': 0.133, 'neu': 0.758, 'pos': 0.11, 'compound': -0.1531}",negative
3122,"great concept . but i do not build up coin quickly enough , and do not get any gem , mean i could not get anything new for my character . honestly , a calendar and check - mark system would give i more incentive than this .","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.8817}",positive
3123,i really enjoy this app but now if i delete a daily reminder i still get the notification for it ! which be highly annoying ! please fix this it distract i from my work each time i here my notification go off for a deleted reminder,"{'neg': 0.139, 'neu': 0.757, 'pos': 0.105, 'compound': -0.4328}",negative
3124,can not check of checklist item,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3125,super super buggy on my note 8 . can not press anything on the character creation menu after register . justin ( the tip guy ) always come up after press any of the menu . super super annoying . please fix a.s.a.p,"{'neg': 0.047, 'neu': 0.607, 'pos': 0.347, 'compound': 0.9538}",positive
3126,please help . relogge in after several month disuse . it have ask i to enter a username and it be stick on ' username take ' . will not let i progress to the app . i 've try every random letter / number combination so it be definitely not take . just buggy app ?,"{'neg': 0.084, 'neu': 0.76, 'pos': 0.155, 'compound': 0.5642}",positive
3127,change of day in app be a major problem . i wish it would happen smoothly .,"{'neg': 0.158, 'neu': 0.686, 'pos': 0.156, 'compound': -0.0076}",neutral
3128,"it would be a very helpful app if it actually work the way you would expect ... if i say i want a task to be weekly , but make it so i can complete that task any day , what i be try to do , be make the task flexible , so i can do the weekly task whatever day of the week i feel like , instead however , make it available everyday turn it into a daily task , which i will be punish for by not complete daily , my only real solution at the moment be fill up my to - do list which be really frustrating .","{'neg': 0.073, 'neu': 0.823, 'pos': 0.104, 'compound': 0.1172}",positive
3129,lose the ability to sort to do by tag . very inconvenient . i use that feature a lot .,"{'neg': 0.234, 'neu': 0.657, 'pos': 0.108, 'compound': -0.4005}",negative
3130,it be slow . it 'll be well if it work offline,"{'neg': 0.132, 'neu': 0.614, 'pos': 0.254, 'compound': 0.34}",positive
3131,"late update have not fix bug that occur every day.frustrate to use.sometimes it will not save , will just have a loading loop . some basic thing be not customizable like the calendar start on monday or the date format , do not keep track of activity datum correctly . please focus on get the app to work instead of focus on superficial appearance ! be think of pay for a subscription but what be the point if the money will not go towards make the app usable & less temperamental ?","{'neg': 0.019, 'neu': 0.958, 'pos': 0.023, 'compound': 0.0994}",positive
3132,it got bore fast,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}",negative
3133,i really enjoy this app but it have just stop work randomly . i try to hatch a dragon egg and the app crash and since then i can not access it . i have try uninstalle the app but nothing be work . i have even try to use the website but it do not keep track of my exp gain . i be very dissapointed as i really like the idea of the app .,"{'neg': 0.03, 'neu': 0.85, 'pos': 0.12, 'compound': 0.7897}",positive
3134,"upon use the app so far , i wish that it would be accessible offline . other than that , the idea to challenge yourself to earn point for your habit and chore be quite remarkable","{'neg': 0.039, 'neu': 0.75, 'pos': 0.211, 'compound': 0.7688}",positive
3135,"just have a big visual update but if anything the app be get bad and bad . now most of the time when i tap a plus sign to increase count of something , nothing happen . i have to drag down to refresh and then after it think for a minute it 'll update the count . or not , it kind of do what it want at this point . i 've mostly stop use it because of this .","{'neg': 0.155, 'neu': 0.81, 'pos': 0.035, 'compound': -0.8765}",negative
3136,"this be terribly buggy and you be well off avoid it ; use the website instead , if you be on your mobile device . late update do not update habit counter on - screen after you press any button ; all of the command be process though . app still do not display item that be find . just another buggy update .","{'neg': 0.105, 'neu': 0.844, 'pos': 0.051, 'compound': -0.4767}",negative
3137,"interesting concept but i get a "" path type be require "" error all the time so i stop use it","{'neg': 0.261, 'neu': 0.662, 'pos': 0.077, 'compound': -0.667}",negative
3138,require an account,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3139,use it awhile ago and recently instal on my new phone . as soon as it open it be clear i would not be able to use it . several thing where off ( like try to put picture in an office doc ) worse still when i try to add many option be cut off by some form of white box that sit in the way . unfortunately daily be one of the miss option and a huge part of how i personally use the app .,"{'neg': 0.106, 'neu': 0.813, 'pos': 0.08, 'compound': -0.34}",negative
3140,it keep bug out whenever i try to do anything . it will not stop do ghe tutorial and will not ket i delete tast and stuff .,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.2235}",positive
3141,"i love the idea of this app . unfortunately , it be not super user friendly . i 've be use it for over a month and it be not very obvious how to complete quest or anything else . ( and yes , i have go through the faq ) i finally figure out how to hatch egg , but that be all . it be a pretty clunky app as a "" game "" but it do a pretty good job of keep i accountable for thing . that be the only reason i have not delete it . as a "" gamify your life "" app , i be not convinced . hopefully it improve !","{'neg': 0.098, 'neu': 0.723, 'pos': 0.18, 'compound': 0.9106}",positive
3142,"i quite like habitica , but this app have some issue . the big problem for i be that switch the to do list to "" schedule "" be suppose to sort the to do item by due date ( that be how it work on the website ) , but it do not . that make the to do list ( in the app ) useless for i .","{'neg': 0.115, 'neu': 0.855, 'pos': 0.03, 'compound': -0.7471}",negative
3143,"need a vpn if you be in china . some questionable ui and design choice , though the fundamental work well for the most part . if you want to do anything remotely interesting then you have to pay , of course . and the subscription fee be absolutely extortionate . one month be the same price as a month of netflix and a year be £ 47 . a year of ms office 365 with all of its functionality be £ 60 ... let that sink in . i do not understand why , for relatively little , this app cost so much . greed , i assume .","{'neg': 0.067, 'neu': 0.872, 'pos': 0.062, 'compound': -0.1226}",negative
3144,"i could not get past the set - up . "" ' strength be not valid enum value path ' attitude ' ""","{'neg': 0.118, 'neu': 0.696, 'pos': 0.186, 'compound': 0.2878}",positive
3145,two star bc i have adhd and i really want it to work . it be not user friendly and i can not give it the time of day to sit and figure it out . i 'll try again later .... maybe this fall ?,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.3875}",negative
3146,it be completely a mess . can not understand what to do and where .,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.4173}",negative
3147,could not get past registration / login . i 've never use the app before but when i try to make an account it say that my email have be take and when i go to login it just keep load forever .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3148,not really interesting . do not help if you do not have a discipline already in place .,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.6119}",negative
3149,"great concept , but can they hire an artist , this artwork be outdate ! ! otherwise i would use this","{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.4826}",positive
3150,too hard,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.1027}",negative
3151,the daily and habit should reset everyday.please let they reset,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3152,can do well very complex to handle for newbie .,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",positive
3153,some my task and habit dissappear . there be not any in complete .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3154,would like to change my my class and chat be impossible to navigate . a simple notification system would make it easy .,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.6597}",positive
3155,"great concept , but riddle with bug . sign up be horribly difficult , with the server not respond and the app fail to realize i be try to change my username and display name . app reset at around 7:00 pm , instead of at midnight of my time zone , which i have double check beforehand . i want to like it , but this be become downright frustrating .","{'neg': 0.203, 'neu': 0.705, 'pos': 0.091, 'compound': -0.8979}",negative
3156,this app be close down everytime i try to do anything but daily task . rather frustrating ...,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.5927}",negative
3157,"have be a user for year , but the app be borderline unusable at this point , it be not save anything and be not connect to server . try uninstalling and reinstalling , not sure what be wrong .","{'neg': 0.066, 'neu': 0.843, 'pos': 0.091, 'compound': 0.2235}",positive
3158,"the app work great ... with wifi . i love the feel of the app and desktop version , but a decent chunk of my day be spend with limited / no wifi . i can not recommend it for that .","{'neg': 0.069, 'neu': 0.799, 'pos': 0.133, 'compound': 0.358}",positive
3159,"bug that say ' path ' type ' be require ' everytime i try to do something . i try submittinf an error report through menu - about - report a bug , but i get the same error message when i try report the bug","{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.6597}",negative
3160,"awesome app .... but , soo many bug ! !","{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.4826}",positive
3161,"i like the concept , but the execution need work . in my experience , the app be laggy non - responsive at time which make the experience of create and manage task tedious .","{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5499}",positive
3162,not user - friendly,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3163,"incredible tool , awful app . i would recommend the desktop version of this site to anyone but the app be a bug - ride mess that overcomplicate simple function and only work about 90 % of the time .","{'neg': 0.145, 'neu': 0.808, 'pos': 0.047, 'compound': -0.5631}",negative
3164,it be be really helpful for habit building but it be now bug like crazy and crash every time i open it so not wonderful .,"{'neg': 0.236, 'neu': 0.597, 'pos': 0.166, 'compound': -0.497}",negative
3165,"it be a great idea but it just do not work ! the page never refresh for the next day , and if i press the refresh button it just come up with an unable to connect to server error , or just stay with the loading symbol infinitely . i go on it today after not go on it for a couple of day and i just find that i m dead out of nowhere . the "" refill health "" prompt keep repeatedly pop up and then when it stop my health bar be still at zero . also the add habit button be not there always ...","{'neg': 0.113, 'neu': 0.864, 'pos': 0.024, 'compound': -0.8908}",negative
3166,"the idea behind the app be nice , but it be not userfriendly . find and add friend to use it together be so counter productive that it get we to waste time we could be actually do our daily task .","{'neg': 0.083, 'neu': 0.782, 'pos': 0.135, 'compound': 0.3291}",positive
3167,here the thing . i love this app and the idea behind it . but for some reason its so dang glitchy . page will not always change when i scroll . task do not refresh . i often have to completely close the app . help ! very willing to change this review to 5 star if we get this figure out .,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.7537}",positive
3168,"i want to use this app . the concept be really good . but i will not use it simply because it barely function . for starter it be online only ... but as if that be not enough the sync on android be just all over the place - the app would sometimes ask "" have you do these thing today ? "" for task that be schedule the day before or at 1 am for task on that day ... speak of task , i could not set up multiple repeat task for certain day of the week ( per task , want to fill the whole week with various task and repeat they ) for some reason , they would all sync to same weekday . i enable reminder but never have a reminder come up once and as far as i research online this be a common problem on android and have not be resolve for some time . so it seem i have to create a habit of open this habit tracker app ...","{'neg': 0.032, 'neu': 0.923, 'pos': 0.045, 'compound': 0.2662}",positive
3169,this app would be 100x well if it incorporate some of the editte / customizing function of the other to - do - list app out there . i want to be able to strike through each of the to do item and view delete / archive / complete item . be able to choose color etc ..,"{'neg': 0.031, 'neu': 0.883, 'pos': 0.086, 'compound': 0.4019}",positive
3170,the app be awesome . but it make my phone drain 30 % battery per day in the background which make it useless,"{'neg': 0.147, 'neu': 0.752, 'pos': 0.101, 'compound': -0.2846}",negative
3171,very buggy and do not always show whole page or list .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3172,sadly the ui be not adapt for the pixel 3 xl,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",negative
3173,"let us be honest here , if you need help with basic habit management , you will not use this regularly enough to help . and if you be organize and have a good routine , you do not need it . a pointless novelty at good .","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.9413}",positive
3174,clunky and very slow to load . not fun at all - just yet another task i have to deal with daily .,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4023}",negative
3175,"several navigation option be inaccessible because they be underneath the home / back / task button at the bottom or within the notification / notch area at the top , make this app hard to use on my phone .","{'neg': 0.043, 'neu': 0.901, 'pos': 0.056, 'compound': 0.1027}",positive
3176,the app be work fine until it start bug out recently and show i the wrong daily . go back to use just the website now until this be fix .,"{'neg': 0.097, 'neu': 0.846, 'pos': 0.056, 'compound': -0.3182}",negative
3177,"this app be a great idea with poor execution . reminder only sometimes appear , and the ui can be very unresponsive - i 've check daily task off , only to find that the app interpret this as unchecking the task ( since it have not register the fact that it be a new day , yet ) , which actually subtract the game resource from you . these problem be significant enough to make the rpg - like reward system ineffective for i , and the app not worth use as a habit - tracker at this time , sadly .","{'neg': 0.119, 'neu': 0.79, 'pos': 0.091, 'compound': -0.194}",negative
3178,"i be a breath away from uninstalle this app again . half the time it do not even do what it be suppose to do , some thing it do not even let you do inside the app , you have to go to the actual browser version to do it . on that subject , the mobile browser be beyond awkward , no chance of navigate it properly ! if i be suppose to log into an actual pc just to check off that i do a workout or washed dish , forget it . right now the only reward i get be have my good mood ruin ; certainly not worth it .","{'neg': 0.093, 'neu': 0.825, 'pos': 0.082, 'compound': 0.3151}",positive
3179,good concept but lack basic functionality,"{'neg': 0.331, 'neu': 0.449, 'pos': 0.219, 'compound': -0.25}",negative
3180,the app itself be quite good but without offline mode it be useless for i .,"{'neg': 0.202, 'neu': 0.599, 'pos': 0.199, 'compound': -0.2613}",negative
3181,"no landscape mode for tablet . i like the browser version , but landscape support be essential to i .","{'neg': 0.077, 'neu': 0.67, 'pos': 0.254, 'compound': 0.5719}",positive
3182,"this app would be so much well if it do not penalize you for do your habit for many day in a row . instead of get more experience , coin , you get less the long you do something . you should be reward the habit that people be build , not tell they that once they have the habit they be go to get less for it . otherwise , this app would get five star for i .","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.7635}",positive
3183,"it be a good app but it do not really work for i . please provide an offline mode , because not everyone have datum and wi - fi throughout the whole day . i will rate it 5 star once there be an offline mode .","{'neg': 0.081, 'neu': 0.806, 'pos': 0.113, 'compound': 0.34}",positive
3184,"it be a great app . really nice feature . do everything it say on the tin . but let i tell you : a productivity app will not do what it be mean to do unless it be usable offline . i really love use it , but now i be go back to the good old bullet journal .","{'neg': 0.029, 'neu': 0.734, 'pos': 0.237, 'compound': 0.9258}",positive
3185,"i honestly do not get much chance to use the app before it stop connect and not let i do anything . before that happen i start set up daily task and the part where you set how often ( such as the day of the week ) you do each task be confusing . i would change the day on one task and it would change it for all of they . over all , too much work for its worth . love the idea though , it would have really get i do thing to level up and collect item","{'neg': 0.055, 'neu': 0.858, 'pos': 0.087, 'compound': 0.644}",positive
3186,do not connect at all . pls fix it,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.0772}",positive
3187,this app seem very interesting until i get into the app and at the very start of it it make itself very clear that this app be gear towards woman . the avatar customization part all the hair and accessory be for woman . app seem cool but unwelcome for guy .,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.5563}",positive
3188,"the app 's concept be very misleading . i be promise gameplay and if it really be in here , i be have a rough time find it .","{'neg': 0.109, 'neu': 0.8, 'pos': 0.091, 'compound': -0.1263}",negative
3189,"it be a great idea and i think i would really love it . but it be unusable offline and as someone who do not have access to wifi all the time , that make it impossible to work with .","{'neg': 0.046, 'neu': 0.815, 'pos': 0.139, 'compound': 0.5494}",positive
3190,"google login do not work for i . in freshly instead app i can tap login 
 with google button , pop - up ask i to pick a google account to use , ipick 
 the only one , and i be leave on an empty login /register screen . really 
 tap google login button do nothing . i 've try : * manually enable 
 phone and storage permission * manually clear app datum and cache * 
 reinstall the app nothing work .","{'neg': 0.025, 'neu': 0.975, 'pos': 0.0, 'compound': -0.2023}",negative
3191,"thought it be great ... until i open the app to mark off a task only to 
 find that i have die . lose all my progress , no idea how . what be the point 
 of have an app that give you experience when you accomplish goal if you 
 can lose it all without know why ?","{'neg': 0.162, 'neu': 0.692, 'pos': 0.146, 'compound': -0.0258}",neutral
3192,"after the update , the widget be not work and it be drain the battery 
 from my phone and my tablet ( redmi note 4 mtk and galaxy tab s3 ) . will 
 reinstall when those be fix","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3193,too slow and clunky . especially with signup,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3194,too ugly to be attract to .,"{'neg': 0.327, 'neu': 0.396, 'pos': 0.277, 'compound': -0.128}",negative
3195,"nice idea , but nothing be really work for i , party not show 
 member , error connect , not worthy the annoyance","{'neg': 0.113, 'neu': 0.508, 'pos': 0.379, 'compound': 0.746}",positive
3196,i could not get pass avatar creation due to the app crash .,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",positive
3197,do not work,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
